"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00041912","COLFAX, CA US","1960-09-23",,,"0.00","0.0","0.0","87","55","86"
"USC00041912","COLFAX, CA US","1960-09-24",,,"0.00","0.0","0.0","91","58","90"
"USC00041912","COLFAX, CA US","1960-09-25",,,"0.00","0.0","0.0","95","64","92"
"USC00041912","COLFAX, CA US","1960-09-26",,,"0.00","0.0","0.0","96","67","88"
"USC00041912","COLFAX, CA US","1960-09-27",,,"0.00","0.0","0.0","89","65","85"
"USC00041912","COLFAX, CA US","1960-09-28",,,"0.00","0.0","0.0","86","58","83"
"USC00041912","COLFAX, CA US","1960-09-29",,,"0.00","0.0","0.0","84","56","82"
"USC00041912","COLFAX, CA US","1960-09-30",,,"0.00","0.0","0.0","83","55","79"
"USC00041912","COLFAX, CA US","1960-10-01",,,"0.00","0.0","0.0","79","55","76"
"USC00041912","COLFAX, CA US","1960-10-02",,,"0.00","0.0","0.0","78","54","78"
"USC00041912","COLFAX, CA US","1960-10-03",,,"0.00","0.0","0.0","82","53","78"
"USC00041912","COLFAX, CA US","1960-10-04",,,"0.00","0.0","0.0","82","56","80"
"USC00041912","COLFAX, CA US","1960-10-05",,,"0.17","0.0","0.0","80","56","65"
"USC00041912","COLFAX, CA US","1960-10-06",,,"0.00","0.0","0.0","72","55","71"
"USC00041912","COLFAX, CA US","1960-10-07",,,"0.00","0.0","0.0","71","52","67"
"USC00041912","COLFAX, CA US","1960-10-08",,,"0.00","0.0","0.0","68","46","66"
"USC00041912","COLFAX, CA US","1960-10-09",,,"0.00","0.0","0.0","66","47","60"
"USC00041912","COLFAX, CA US","1960-10-10",,,"0.00","0.0","0.0","59","48","49"
"USC00041912","COLFAX, CA US","1960-10-11",,,"0.00","0.0","0.0","65","40","62"
"USC00041912","COLFAX, CA US","1960-10-12",,,"0.00","0.0","0.0","66","41","64"
"USC00041912","COLFAX, CA US","1960-10-13",,,"0.00","0.0","0.0","66","43","64"
"USC00041912","COLFAX, CA US","1960-10-14",,,"0.00","0.0","0.0","78","39","73"
"USC00041912","COLFAX, CA US","1960-10-15",,,"0.00","0.0","0.0","81","47","76"
"USC00041912","COLFAX, CA US","1960-10-16",,,"0.00","0.0","0.0","80","54","80"
"USC00041912","COLFAX, CA US","1960-10-17",,,"0.00","0.0","0.0","80","48","76"
"USC00041912","COLFAX, CA US","1960-10-18",,,"0.00","0.0","0.0","77","46","75"
"USC00041912","COLFAX, CA US","1960-10-19",,,"0.00","0.0","0.0","78","52","76"
"USC00041912","COLFAX, CA US","1960-10-20",,,"0.00","0.0","0.0","80","53","76"
"USC00041912","COLFAX, CA US","1960-10-21",,,"0.00","0.0","0.0","81","54","78"
"USC00041912","COLFAX, CA US","1960-10-22",,,"0.00","0.0","0.0","83","54","77"
"USC00041912","COLFAX, CA US","1960-10-23",,,"0.00","0.0","0.0","77","55","63"
"USC00041912","COLFAX, CA US","1960-10-24",,,"0.00","0.0","0.0","72","47","69"
"USC00041912","COLFAX, CA US","1960-10-25",,,"0.00","0.0","0.0","72","47","68"
"USC00041912","COLFAX, CA US","1960-10-26",,,"0.20","0.0","0.0","68","44","60"
"USC00041912","COLFAX, CA US","1960-10-27",,,"0.00","0.0","0.0","68","41","63"
"USC00041912","COLFAX, CA US","1960-10-28",,,"0.00","0.0","0.0","73","44","67"
"USC00041912","COLFAX, CA US","1960-10-29",,,"0.00","0.0","0.0","76","44","72"
"USC00041912","COLFAX, CA US","1960-10-30",,,"0.00","0.0","0.0","79","50","75"
"USC00041912","COLFAX, CA US","1960-10-31",,,"0.00","0.0","0.0","80","53","76"
"USC00041912","COLFAX, CA US","1960-11-01",,,"0.00","0.0","0.0","81","54","77"
"USC00041912","COLFAX, CA US","1960-11-02",,,"0.00","0.0","0.0","77","55","66"
"USC00041912","COLFAX, CA US","1960-11-03",,,"0.34","0.0","0.0","66","43","54"
"USC00041912","COLFAX, CA US","1960-11-04",,,"0.00","0.0","0.0","64","42","59"
"USC00041912","COLFAX, CA US","1960-11-05",,,"0.02","0.0","0.0","65","43","49"
"USC00041912","COLFAX, CA US","1960-11-06",,,"0.15","0.0","0.0","55","47","49"
"USC00041912","COLFAX, CA US","1960-11-07",,,"0.23","0.0","0.0","57","46","55"
"USC00041912","COLFAX, CA US","1960-11-08",,,"0.00","0.0","0.0","61","39","55"
"USC00041912","COLFAX, CA US","1960-11-09",,,"0.00","0.0","0.0","63","39","58"
"USC00041912","COLFAX, CA US","1960-11-10",,,"0.00","0.0","0.0","65","41","58"
"USC00041912","COLFAX, CA US","1960-11-11",,,"0.75","0.0","0.0","59","46","49"
"USC00041912","COLFAX, CA US","1960-11-12",,,"1.49","0.0","0.0","49","41","46"
"USC00041912","COLFAX, CA US","1960-11-13",,,"1.44","0.0","0.0","46","40","43"
"USC00041912","COLFAX, CA US","1960-11-14",,,"0.72","0.0","0.0","43","39","42"
"USC00041912","COLFAX, CA US","1960-11-15",,,"0.27","0.0","0.0","55","35","54"
"USC00041912","COLFAX, CA US","1960-11-16",,,"0.00","0.0","0.0","60","37","53"
"USC00041912","COLFAX, CA US","1960-11-17",,,"0.00","0.0","0.0","59","38","53"
"USC00041912","COLFAX, CA US","1960-11-18",,,"0.98","0.0","0.0","54","45","51"
"USC00041912","COLFAX, CA US","1960-11-19",,,"0.00","0.0","0.0","61","32","52"
"USC00041912","COLFAX, CA US","1960-11-20",,,"0.00","0.0","0.0","63","41","60"
"USC00041912","COLFAX, CA US","1960-11-21",,,"0.07","0.0","0.0","59","42","54"
