"DOWNLOAD DATE: 2021-12-07","","","","","",""
"","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates","Timezone","Location Type","",""
"Lake Oroville","CA","[-121.48383, 39.53784]","PT","Lake/Reservoir","",""
"#MODEL INFORMATION#","","","","","",""
"Model Run","Model Name","Model Run Description","Model Run Date Time","Attributes","",""
"CalSim II ROC on LTO COS","CalSim II","CalSim II Current Operations Study (COS) from the Reinitiation of Consulation on the Coordinated Long-Term Operations (ROC on LTO) of the Central Valley Project (CVP) and the State Water Project (SWP) Draft Environmental Impact Statement. The Current Operations Scenario represents CVP and SWP operations to comply with the ""current"" regulatory environment (as of December 27, 2017) under projected Year 2030 conditions.","2019-01-14 06:54:52","Model run assumptions are described in Section 3.1 of Appendix D of the ROC on LTO Draft EIS, available at https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=276781","",""
"#MODEL DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Lake Oroville","Lake/Reservoir Storage","3538","taf","monthly","instant","1995-05-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3538","taf","monthly","instant","1995-06-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3480.41","taf","monthly","instant","1995-07-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3340.56","taf","monthly","instant","1995-08-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2847.54","taf","monthly","instant","1995-09-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2607.89","taf","monthly","instant","1995-10-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2492.82","taf","monthly","instant","1995-11-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2688.51","taf","monthly","instant","1995-12-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2788","taf","monthly","instant","1996-01-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2788","taf","monthly","instant","1996-02-29 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2995","taf","monthly","instant","1996-03-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3352","taf","monthly","instant","1996-04-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3538","taf","monthly","instant","1996-05-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3504.05","taf","monthly","instant","1996-06-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2944.61","taf","monthly","instant","1996-07-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2566.82","taf","monthly","instant","1996-08-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2061.84","taf","monthly","instant","1996-09-30 08:00:00"
